ABTEILUNG;NUMMER;CODE;NAME;EINHEIT;REF_UNTEN M;REF_OBEN M;REF_UNTEN W;REF_OBEN W
BLUT-CHEMIE;15410;HGH 4J-6J;HGH (Somatotropin);pmol/l;4;113.7;4.5;100.1
BLUT-CHEMIE;15411;HGH 7J-8J;HGH (Somatotropin);pmol/l;6.8;145.6;7.2;245.7
BLUT-CHEMIE;15408;HGH 8-15T;HGH (Somatotropin);pmol/l;31.3;787.1;48.6;800.8
BLUT-CHEMIE;15412;HGH 9J-10J;HGH (Somatotropin);pmol/l;4;88.7;3.6;141
BLUT-CHEMIE;37677;hGH-KInd;HGH (Somatotropin);µg/l;<;7.7;<;7.7
BLUT-CHEMIE;40516;hGH-01;HGH (Somatotropin);µg/l;;;;
BLUT-CHEMIE;22177;HIV;HIV-Schnelltest GEBS;;;;;
BLUT-CHEMIE;24648;HoloTC;Active-B12 (holoTC);pmol/l;>;35;>;35
BLUT-CHEMIE;37876;HoloTC;Active-B12 (holoTC);pmol/l;>;35;>;35
BLUT-CHEMIE;21956;HOLOTC;Holo-TC;;;;;
BLUT-CHEMIE;29311;HOMA;HOMA-Index ;;;;;
BLUT-CHEMIE;37882;HPG;17-a-HPG (LCMS) nach 60;nmol/l;;;;
BLUT-CHEMIE;32807;HPG;17-a-HPG (LCMS);nmol/l;;;;
BLUT-CHEMIE;21494;HP-ST;Heparinplasma holen;Tage;5;;;
BLUT-CHEMIE;19399;HP-5;Plasmathek (Heparin-Plasma);Tage;5;;;
BLUT-CHEMIE;11542;hsCRP;CRP (hoch sensitiv);mg/l;<;1.7;<;1.7
BLUT-CHEMIE;36716;hsTnI;hs Troponin I (DxI);ng/l;<;18;<;18
BLUT-CHEMIE;37266;hsTnI (Serum);hs Troponin I (DxI, Se);ng/l;<;18;<;18
BLUT-CHEMIE;43364;hsTnT;hs Troponin T (Cobas);ng/l;<;14;<;14
BLUT-CHEMIE;22179;hvk4-GEBS;HIV-1/2 Ak u Ag, (EIA) ;Index;;;;
BLUT-CHEMIE;30299;HyChloro;Hydroxychloroquin;µg/l;96;192;96;192
BLUT-CHEMIE;17776;IBU;Ibuprofen;µmol/l;73;146;73;146
BLUT-CHEMIE;21654;ICA;Insulin-Auto-AK;E/ml;<;0.4;<;0.4
BLUT-CHEMIE;102;IEF (SE);Oligoklonale IgG Banden;;<;2;<;2
BLUT-CHEMIE;22973;IFN;IFN-Gamma;ng/l;<;15;<;15
BLUT-CHEMIE;202;IFN;Interferon;pg/ml;<;0.1;<;0.1
BLUT-CHEMIE;85;IgA;IgA Serum;g/l;0.7;4.1;0.7;4.1
BLUT-CHEMIE;10690;IgA <1;IgA Serum;g/l;;;;
BLUT-CHEMIE;10693;IgA <12;IgA Serum;g/l;0.3;1.4;0.3;1.4
BLUT-CHEMIE;10696;IgA <132;IgA Serum;g/l;0.6;2.2;0.6;2.2
BLUT-CHEMIE;10697;IgA <156;IgA Serum;g/l;0.9;2.8;0.9;2.8
BLUT-CHEMIE;10691;IgA <3;IgA Serum;g/l;0.1;0.5;0.1;0.5
BLUT-CHEMIE;10694;IgA <36;IgA Serum;g/l;0.3;1.4;0.3;1.4
BLUT-CHEMIE;10692;IgA <6;IgA Serum;g/l;0.1;0.8;0.1;0.8
BLUT-CHEMIE;10695;IgA <72;IgA Serum;g/l;0.4;1.8;0.4;1.8
BLUT-CHEMIE;235;IgA-L;IgA Liquor;g/l;0.009;0.034;0.009;0.034
BLUT-CHEMIE;13782;IGD;IgD;U/ml;<;100;<;100
BLUT-CHEMIE;33628;IGD;IgD;mg/l;<;132.1;<;132.1
BLUT-CHEMIE;10008;IGE;IgE;kUA/l;<;200;<;200
BLUT-CHEMIE;10003;IGE;IgE;kUA/l;<;70;<;70
BLUT-CHEMIE;10001;IGE;IgE;kUA/l;<;15;<;15
BLUT-CHEMIE;10002;IGE;IgE;kUA/l;<;20;<;20
BLUT-CHEMIE;118;IGE;IgE Serum;kUA/l;;;;
BLUT-CHEMIE;10005;IGE;IgE;kUA/l;<;240;<;240
BLUT-CHEMIE;10004;IGE;IgE;kUA/l;<;118;<;118
BLUT-CHEMIE;10000;IGE;IgE;kUA/l;<;1.5;<;1.5
BLUT-CHEMIE;10006;IGE;IgE;kUA/l;<;200;<;200
BLUT-CHEMIE;34939;IgE-CAP;IgE ;kU/l;<;200;<;200
BLUT-CHEMIE;34940;IgE-CAP-NG;IgE ;kU/l;<;2;<;2
BLUT-CHEMIE;34943;IgE-CAP-1-3J;IgE ;kU/l;<;70;<;70
BLUT-CHEMIE;34941;IgE-CAP-1-6M;IgE ;kU/l;<;15;<;15
BLUT-CHEMIE;34944;IgE-CAP-4-6J;IgE;kU/l;<;118;<;118
BLUT-CHEMIE;34942;IgE-CAP-7-12M;IgE;kU/l;<;20;<;20
BLUT-CHEMIE;34945;IgE-CAP-7-14J;IgE;kU/l;<;240;<;240
BLUT-CHEMIE;13974;IGE-DXI;IgE total, qn;kUA/l;;;;
BLUT-CHEMIE;16043;IGE-DXI;IgE Serum;kUA/l;<;200;<;200
BLUT-CHEMIE;30284;IGFBP-3;IGF-Binding Protein 3;mg/l;3.2;6.4;3.2;6.4
BLUT-CHEMIE;15646;IGFBP-3;IGF-Binding Protein 3;mg/l;3.4;6.6;3.4;6.6
BLUT-CHEMIE;31999;IGFBP-3;IGF-Binding Protein 3;mg/l;;;;
BLUT-CHEMIE;27333;IGF-1;IGF-1;nmol/l;;;;
BLUT-CHEMIE;21552;IGF-1;IGF-1;nmol/l;;;;
BLUT-CHEMIE;21602;IGF-1;IGF-1 (Entnahme + Laboretikette );nmol/l;;;;
BLUT-CHEMIE;30080;IGF-1;IGF-1;nmol/l;;;;
BLUT-CHEMIE;11756;IGF-1 bis 12J;IGF-1;nmol/l;14.3;73.8;15.2;100.7
BLUT-CHEMIE;11757;IGF-1 bis 16J;IGF-1;nmol/l;26.4;125;34.1;143.2
BLUT-CHEMIE;11758;IGF-1 bis 20J;IGF-1;nmol/l;23.6;109.9;24;94.8
BLUT-CHEMIE;11759;IGF-1 bis 40J;IGF-1;nmol/l;10.8;49.4;14.6;58.8
BLUT-CHEMIE;11754;IGF-1 bis 6J;IGF-1;nmol/l;2.6;33.9;2.6;33.9
BLUT-CHEMIE;11755;IGF-1 bis 9J;IGF-1;nmol/l;10;57.1;16.9;62
BLUT-CHEMIE;30081;IGF-1 (0);IGF-1;nmol/l;1.43;15.6;1.04;18.98
BLUT-CHEMIE;12795;IGF-1 (0);IGF-1;nmol/l;<;5.3;<;5.3
BLUT-CHEMIE;27334;IGF-1 (0);IGF-1;nmol/l;4.36;22.33;3.56;14.76
BLUT-CHEMIE;30082;IGF-1 (1);IGF-1;nmol/l;1.69;26;1.43;28.08
BLUT-CHEMIE;12796;IGF-1 (1);IGF-1;nmol/l;7.15;42.5;7.15;42.5
BLUT-CHEMIE;27335;IGF-1 (1);IGF-1;nmol/l;10.37;31.72;7.14;26.83
BLUT-CHEMIE;30092;IGF-1 (10);IGF-1;nmol/l;2.34;31.98;2.34;31.72
BLUT-CHEMIE;12799;IGF-1 (10);IGF-1;nmol/l;11.44;58.8;11.44;58.8
BLUT-CHEMIE;30093;IGF-1 (11);IGF-1;nmol/l;1.95;23.4;2.34;25.09
BLUT-CHEMIE;12800;IGF-1 (12);IGF-1;nmol/l;18.59;90.1;18.59;90.1
BLUT-CHEMIE;12801;IGF-1 (14);IGF-1;nmol/l;28.6;126.4;28.6;126.4
BLUT-CHEMIE;12802;IGF-1 (16);IGF-1;nmol/l;29.38;117.4;29.38;117.4
BLUT-CHEMIE;12803;IGF-1 (18);IGF-1;nmol/l;21.19;75.92;21.19;75.92
BLUT-CHEMIE;27336;IGF-1 (2);IGF-1;nmol/l;11.36;51.91;11.08;32.34
BLUT-CHEMIE;30083;IGF-1 (2);IGF-1;nmol/l;2.08;39.91;2.47;44.46
BLUT-CHEMIE;12804;IGF-1 (20);IGF-1;nmol/l;16.51;75.92;16.51;75.92
BLUT-CHEMIE;12805;IGF-1 (25);IGF-1;nmol/l;15.08;46.54;15.08;46.54
BLUT-CHEMIE;27337;IGF-1 (3);IGF-1;nmol/l;24.49;66.29;15;64.77
BLUT-CHEMIE;30084;IGF-1 (3);IGF-1;nmol/l;2.6;55.12;5.07;65.52
BLUT-CHEMIE;12806;IGF-1 (30);IGF-1;nmol/l;15.21;42.77;15.21;42.77
BLUT-CHEMIE;12807;IGF-1 (35);IGF-1;nmol/l;14.95;39.91;14.95;39.91
BLUT-CHEMIE;30085;IGF-1 (4);IGF-1;nmol/l;4.81;67.47;9.88;77.48
BLUT-CHEMIE;27338;IGF-1 (4);IGF-1;nmol/l;34.78;61.2;32.15;62.62
BLUT-CHEMIE;12808;IGF-1 (40);IGF-1;nmol/l;14.17;36.92;14.17;36.92
BLUT-CHEMIE;12809;IGF-1 (45);IGF-1;nmol/l;13.13;34.71;13.13;34.71
BLUT-CHEMIE;30086;IGF-1 (5);IGF-1;nmol/l;10.79;67.6;14.95;76.83
BLUT-CHEMIE;27339;IGF-1 (5);IGF-1;nmol/l;19.38;43.2;24.43;52
BLUT-CHEMIE;12810;IGF-1 (50);IGF-1;nmol/l;12.22;32.76;12.22;32.76
BLUT-CHEMIE;30087;IGF-1 (6);IGF-1;nmol/l;17.03;63.7;14.69;62.27
BLUT-CHEMIE;27340;IGF-1 (6);IGF-1;nmol/l;14.01;32.07;12.53;29.61
BLUT-CHEMIE;12797;IGF-1 (6);IGF-1;nmol/l;6.76;38.6;6.76;38.6
BLUT-CHEMIE;12811;IGF-1 (60);IGF-1;nmol/l;10.53;29.25;10.53;29.25
BLUT-CHEMIE;27341;IGF-1 (7);IGF-1;nmol/l;12.05;31.8;11.48;27.29
BLUT-CHEMIE;30089;IGF-1 (7);IGF-1;nmol/l;12.87;51.35;13;48.36
BLUT-CHEMIE;12812;IGF-1 (70);IGF-1;nmol/l;8.97;26;8.97;26
BLUT-CHEMIE;30090;IGF-1 (8);IGF-1;nmol/l;10.66;35.23;9.88;39.65
BLUT-CHEMIE;27342;IGF-1 (8);IGF-1;nmol/l;7.02;26.57;7.1;24.14
BLUT-CHEMIE;12813;IGF-1 (80);IGF-1;nmol/l;7.67;23.01;7.67;23.01
BLUT-CHEMIE;12814;IGF-1 (85);IGF-1;nmol/l;7.15;21.58;7.15;21.58
BLUT-CHEMIE;30091;IGF-1 (9);IGF-1;nmol/l;6.89;30.68;5.59;34.74
BLUT-CHEMIE;12798;IGF-1 (9);IGF-1;nmol/l;9.62;50.4;9.62;50.4
BLUT-CHEMIE;27320;IGF-1-Liaison;IGF-1 nur für Testaufträge;nmol/l;;;;
BLUT-CHEMIE;66;IgG;IgG Serum;g/l;6.9;14;6.9;14
BLUT-CHEMIE;10544;IgG <1;IgG Serum;g/l;6.4;12.8;6.4;12.8
BLUT-CHEMIE;10551;IgG <108;IgG Serum;g/l;6.2;11.5;6.2;11.5
BLUT-CHEMIE;10547;IgG <12;IgG Serum;g/l;3;10;3;10
BLUT-CHEMIE;10552;IgG <132;IgG Serum;g/l;6.5;12.8;6.5;12.8
BLUT-CHEMIE;10553;IgG <216;IgG Serum;g/l;6.9;14;6.9;14
BLUT-CHEMIE;10545;IgG <3;IgG Serum;g/l;2.3;6.6;2.3;6.6
BLUT-CHEMIE;10548;IgG <36;IgG Serum;g/l;4.3;11.6;4.3;11.6
BLUT-CHEMIE;10546;IgG <6;IgG Serum;g/l;1.6;7.3;1.6;7.3
BLUT-CHEMIE;10549;IgG <72;IgG Serum;g/l;4.6;12.2;4.6;12.2
BLUT-CHEMIE;10550;IgG <96;IgG Serum;g/l;4.8;12;4.8;12
BLUT-CHEMIE;103;IgG-L;IgG Liquor;g/l;0.01;0.04;0.01;0.04
BLUT-CHEMIE;166;IgG1;IgG 1;%;46;67;46;67
BLUT-CHEMIE;10710;IgG1 <1095;IgG 1;%;46.3;69.1;46.3;69.1
BLUT-CHEMIE;10708;IgG1 <186;IgG 1;%;81.4;94.7;81.4;94.7
BLUT-CHEMIE;10711;IgG1 <2190;IgG 1;%;68.5;69.4;68.5;69.4
BLUT-CHEMIE;10712;IgG1 <2920;IgG 1;%;70.2;76.6;70.2;76.6
BLUT-CHEMIE;10706;IgG1 <31;IgG 1;%;32;70.7;32;70.7
BLUT-CHEMIE;10709;IgG1 <365;IgG 1;%;57.1;65.3;57.1;65.3
BLUT-CHEMIE;10713;IgG1 <4015;IgG 1;%;54.8;85.2;54.8;85.2
BLUT-CHEMIE;10714;IgG1 <6570;IgG 1;%;48.1;75.5;48.1;75.5
BLUT-CHEMIE;10707;IgG1 <93;IgG 1;%;66.7;85.9;66.7;85.9
BLUT-CHEMIE;167;IgG2;IgG 2;%;19.5;33.5;19.5;33.5
BLUT-CHEMIE;10719;IgG2 <1095;IgG 2;%;7;22.1;7;22.1
BLUT-CHEMIE;10717;IgG2 <186;IgG 2;%;17.9;24.4;17.9;24.4
BLUT-CHEMIE;10720;IgG2 <2190;IgG 2;%;13.3;23.6;13.3;23.6
BLUT-CHEMIE;10721;IgG2 <2920;IgG 2;%;14.9;29.1;14.9;29.1
BLUT-CHEMIE;10715;IgG2 <31;IgG 2;%;11.6;27.3;11.6;27.3
BLUT-CHEMIE;10718;IgG2 <365;IgG 2;%;9.7;19.5;9.7;19.5
BLUT-CHEMIE;10722;IgG2 <4015;IgG 2;%;13.4;35.6;13.4;35.6
BLUT-CHEMIE;10723;IgG2 <6570;IgG 2;%;13.8;40.4;13.8;40.4
BLUT-CHEMIE;10716;IgG2 <93;IgG 2;%;14.1;26.9;14.1;26.9
BLUT-CHEMIE;168;IgG3;IgG 3;%;2.3;8.3;2.3;8.3
BLUT-CHEMIE;10728;IgG3 <1095;IgG 3;%;2.4;9.3;2.4;9.3
BLUT-CHEMIE;10726;IgG3 <186;IgG 3;%;7.9;9.3;7.9;9.3
BLUT-CHEMIE;10729;IgG3 <2190;IgG 3;%;2.4;9.2;2.4;9.2
BLUT-CHEMIE;10730;IgG3 <2920;IgG 3;%;2.3;10.1;2.3;10.1
BLUT-CHEMIE;10724;IgG3 <31;IgG 3;%;1.9;3.7;1.9;3.7
BLUT-CHEMIE;10727;IgG3 <365;IgG 3;%;4.3;8.2;4.3;8.2
BLUT-CHEMIE;10731;IgG3 <4015;IgG 3;%;2.1;11;2.1;11
BLUT-CHEMIE;10732;IgG3 <6570;IgG 3;%;2.3;10.8;2.3;10.8
BLUT-CHEMIE;10725;IgG3 <93;IgG 3;%;5.2;9;5.2;9
BLUT-CHEMIE;169;IgG4;IgG 4;%;2.5;5.9;2.5;5.9
BLUT-CHEMIE;10737;IgG4 <1095;IgG 4;%;0.6;9.3;0.6;9.3
BLUT-CHEMIE;10735;IgG4 <186;IgG 4;%;1.6;2.7;1.6;2.7
BLUT-CHEMIE;10738;IgG4 <2190;IgG 4;%;0.6;11;0.6;11
BLUT-CHEMIE;10739;IgG4 <2920;IgG 4;%;0.5;13.4;0.5;13.4
BLUT-CHEMIE;10733;IgG4 <31;IgG 4;%;0.5;3.7;0.5;3.7
BLUT-CHEMIE;10736;IgG4 <365;IgG 4;%;0.9;3.6;0.9;3.6
BLUT-CHEMIE;10740;IgG4 <4015;IgG 4;%;0.4;15.6;0.4;15.6
BLUT-CHEMIE;10741;IgG4 <6570;IgG 4;%;0.5;15.2;0.5;15.2
BLUT-CHEMIE;10734;IgG4 <93;IgG 4;%;1.1;4.6;1.1;4.6
BLUT-CHEMIE;87;IgM;IgM Serum;g/l;0.4;2.4;0.3;2.1
BLUT-CHEMIE;10698;IgM <1;IgM Serum;g/l;0.1;0.3;0.1;0.3
BLUT-CHEMIE;10701;IgM <12;IgM Serum;g/l;0.3;0.7;0.3;0.7
BLUT-CHEMIE;10704;IgM <132;IgM Serum;g/l;0.4;1.1;0.4;1.1
BLUT-CHEMIE;10705;IgM <156;IgM Serum;g/l;0.5;1;0.5;1
BLUT-CHEMIE;10699;IgM <3;IgM Serum;g/l;0.1;0.6;0.1;0.6
BLUT-CHEMIE;10700;IgM <6;IgM Serum;g/l;0.2;0.8;0.2;0.8
BLUT-CHEMIE;10702;IgM <72;IgM Serum;g/l;0.4;1.3;0.4;1.3
BLUT-CHEMIE;10703;IgM <96;IgM Serum;g/l;0.4;1.2;0.4;1.2
BLUT-CHEMIE;236;IgM-L;IgM Liquor;g/l;0.009;0.034;0.009;0.034
BLUT-CHEMIE;35276;IHT 0;Insulin-Hypoglykämie-Test ( 0 );;;;;
BLUT-CHEMIE;34796;IHT -30;Insulin-Hypoglykämie-Test (-30 );;;;;
BLUT-CHEMIE;42298;IL1;IL-1 beta;ng/l;<;2;<;2
BLUT-CHEMIE;204;IL1;IL-1 beta;ng/l;<;3.9;<;3.9
BLUT-CHEMIE;205;IL-2;IL-2;ng/l;<;10;<;10
BLUT-CHEMIE;22183;IL-2R;IL-2 Rezeptor;IU/ml;<;800;<;800
BLUT-CHEMIE;206;IL-2R;IL-2 Rezeptor;ng/l;<;477;<;477
BLUT-CHEMIE;32827;IL6;IL-6;ng/l;<;3.1;<;3.1
BLUT-CHEMIE;38827;IL6;IL-6;ng/l;<;7;<;7
BLUT-CHEMIE;10689;IL6;IL-6;fmol/l;<;120;<;120
BLUT-CHEMIE;13984;IL6;IL-6;ng/l;<;3.1;<;3.1
BLUT-CHEMIE;10871;Imipramin;Imipramin;µg/l;150;300;150;300
BLUT-CHEMIE;11518;Imipramin;Imipramin;µmol/l;;;;
BLUT-CHEMIE;58;Immun-EP;Immun-EP;;;;;
BLUT-CHEMIE;37693;IMMUN-EP;Immunfixation modifiziert;;;;;
BLUT-CHEMIE;12722;IMMUN-EP;Immunfixation;;;;;
BLUT-CHEMIE;13114;IMMUN-EP-KURVE; Immunfixation;;;;;
BLUT-CHEMIE;32644;Inflix;#NAME?;µg/ml;;;;
BLUT-CHEMIE;38031;Inflix;Infliximab Talspiegel;mg/l;3.5;7;3.5;7
BLUT-CHEMIE;32643;Inflix;#NAME?;pg/ml;<;10;<;10
BLUT-CHEMIE;37651;Inflix;Infliximab Talspiegel;µg/ml;3.8;7;3.8;7
BLUT-CHEMIE;37652;Inflix;Infliximab-Antikörper;µg/l;;;;
BLUT-CHEMIE;32645;Inflix;#NAME?;ng/ml;<;10;<;10
BLUT-CHEMIE;21563;Inhibb;Inhibin B;ng/l;;;;
BLUT-CHEMIE;13922;INS-DXI;Insulin;mU/l;<;10;<;10
BLUT-CHEMIE;40515;INS01;Insulin;mU/l;;;;
BLUT-CHEMIE;13923;INS12;Insulin;mU/l;<;8;<;8
BLUT-CHEMIE;27430;ISONIA;Isoniazid;mg/l;;;;
BLUT-CHEMIE;19722;ISONIA;Isoniazid;µmol/l;7.3;14.6;7.3;14.6
BLUT-CHEMIE;19292;itra;Itraconazol + OH-Itraconazol;mg/l;>;1;>;1
BLUT-CHEMIE;14588;K-AU;Kalium;mmol/l;3.5;5.1;3.5;5.1
BLUT-CHEMIE;4065;KGB;Kryoglobulin ql.;;;;;
BLUT-CHEMIE;42673;KGBTYP;Kryoglobulin Typisierung;;;;;
BLUT-CHEMIE;12508;KNAP;KnAP;U/L;15;41.3;11.6;29.6
BLUT-CHEMIE;30214;Kobalt;Kobalt;µg/l;0.5;3.9;0.5;3.9
BLUT-CHEMIE;29937;Kobalt;Kobalt;µg/l;<;0.9;<;0.9
BLUT-CHEMIE;11134;Kobalt;Kobalt;nmol/l;1.9;7.6;1.9;7.6
BLUT-CHEMIE;21717;Kobalt;Kobalt;µg/l;<;0.4;<;0.4
BLUT-CHEMIE;13768;Kupfer;Kupfer;µmol/l;13;22;13;22
BLUT-CHEMIE;20095;Kupfer-AAS;Kupfer;µmol/l;11;22;10.7;26.6
BLUT-CHEMIE;20096;Kupfer0-4;Kupfer;µmol/l;1.4;7.2;1.4;7.2
BLUT-CHEMIE;20101;Kupfer10-13;Kupfer;µmol/l;12.6;19;12.6;19
BLUT-CHEMIE;20102;Kupfer14-19;Kupfer;µmol/l;10.1;18.4;10.1;18.4
BLUT-CHEMIE;20099;Kupfer1-5;Kupfer;µmol/l;12.6;23.6;12.6;23.6
BLUT-CHEMIE;20097;Kupfer4-6;Kupfer;µmol/l;3.9;17.3;3.9;17.3
BLUT-CHEMIE;20100;Kupfer6-9;Kupfer;µmol/l;13.2;21.4;13.2;21.4
BLUT-CHEMIE;20098;Kupfer7-12;Kupfer;µmol/l;7.9;20.5;7.9;20.5
BLUT-CHEMIE;14311;LAC-AU;Lactat;mmol/l;0.5;2.2;0.5;2.2
BLUT-CHEMIE;22451;Laco;Lacosamid;mg/l;1;10;1;10
BLUT-CHEMIE;13769;LAMO;Lamotrigin;mg/l;0.5;10;0.5;10
BLUT-CHEMIE;22073;LAMO;Lamotrigin;mg/l;3;14;3;14
BLUT-CHEMIE;13387;LAMO;Lamotrigin;µmol/l;9;58;9;58
BLUT-CHEMIE;54;LAP;LAP;U/l;25;79;25;79
BLUT-CHEMIE;14589;LDH-AU;LDH;U/l;<;265;<;265
BLUT-CHEMIE;38761;LDH-AU0-14T;LDH;U/l;256;1017;256;1017
BLUT-CHEMIE;38762;LDH-AU15-1J;LDH;U/l;135;375;135;375
BLUT-CHEMIE;38763;LDH-AU1-999;LDH;U/l;<;265;<;265
BLUT-CHEMIE;11474;LDHDia;LDH (Dialysat);U/l;;;;
BLUT-CHEMIE;14590;LDL-AU;LDL-Cholesterin;mmol/l;<;2.6;<;2.6
BLUT-CHEMIE;11323;LEP;Leptin;µg/l;<;18;<;18
BLUT-CHEMIE;42312;LEP;Leptin;µg/l;;;;
BLUT-CHEMIE;42350;LEP0-8jmf;Leptin;µg/l;;;;
BLUT-CHEMIE;42455;LEP20-999jmf;Leptin;µg/l;0.3;9.6;2.1;28
BLUT-CHEMIE;42315;LEP8-20jf;Leptin;µg/l;;;;
BLUT-CHEMIE;42314;LEP8-20jm;Leptin;µg/l;;;;
BLUT-CHEMIE;22080;Levetiracetam;Levetiracetam;µmol/l;118;235;118;235
BLUT-CHEMIE;43153;Levetiracetam;Levetiracetam;µmol/l;59;235;59;235
BLUT-CHEMIE;30170;Levodo;Levodopa;mg/l;0.2;4;0.2;4
BLUT-CHEMIE;21505;Levodo;Levodopa;mg/l;0.2;2.5;0.2;2.5
BLUT-CHEMIE;30314;Levodo;Levodopa;mg/l;0.2;4;0.2;4
BLUT-CHEMIE;21628;Levofl;Levofloxacin;;;;;
BLUT-CHEMIE;29787;Levomep;Levomepromazin;µmol/l;0.09;0.49;0.09;0.49
BLUT-CHEMIE;13940;LH-DXI;LH;U/l;;;;
BLUT-CHEMIE;40575;LH-DXI-F-0-19;LH;U/l;;;;
BLUT-CHEMIE;40576;LH-DXI-F-19-999;LH;U/l;;;;
BLUT-CHEMIE;40574;LH-DXI-M-0-19;LH;U/l;;;;
BLUT-CHEMIE;16048;LH-DXI-M-19-999;LH;U/l;1;9;;
BLUT-CHEMIE;10576;LH-Knaben;LH;U/l;;;;
BLUT-CHEMIE;10577;LH-Mädchen;LH;U/l;;;;
BLUT-CHEMIE;22475;Li-AU;Lithium;mmol/l;0.6;1.2;0.6;1.2
BLUT-CHEMIE;80;LIGI;LIGI;;;;;
BLUT-CHEMIE;14591;LIP-AU;Lipase;U/l;<;50;<;50
BLUT-CHEMIE;38746;LIP-AU;Lipase;;;;;
BLUT-CHEMIE;38750;LIP-AU1;Lipase;U/l;<;8;<;8
BLUT-CHEMIE;38748;LIP-AU10-18;Lipase;U/l;<;39;<;39
BLUT-CHEMIE;38749;LIP-AU1-10;Lipase;U/l;<;31;<;31
BLUT-CHEMIE;38747;LIP-AU18;Lipase;U/l;<;67;<;67
BLUT-CHEMIE;12630;Lipid-EP;Lipid-EP (HYRYS2);;;;;
BLUT-CHEMIE;12631;LIPO-EP-A; Alpha;%;10;45;10;45
BLUT-CHEMIE;12633;LIPO-EP-B; Beta;%;40;55;40;55
BLUT-CHEMIE;12632;LIPO-EP-CH; Chylomikronen;0.00%;;0;;0
BLUT-CHEMIE;12668;LIPO-EP-GEL;Gel;;;;;
BLUT-CHEMIE;12666;LIPO-EP-K; Lipid-EP Kommentar;;;;;
BLUT-CHEMIE;12667;LIPO-EP-KURVE; Lipid-EP Kurve;;;;;
BLUT-CHEMIE;12634;LIPO-EP-P; Prebeta;%;5;25;5;25
BLUT-CHEMIE;75;Lithium;Lithium;mmol/l;0.6;1.2;0.6;1.2
BLUT-CHEMIE;165;LKK;Kappa-Kette;g/l;0.35;11.4;0.35;11.4
BLUT-CHEMIE;164;LKL;Lambda-Kette;g/l;0.19;6.2;0.19;6.2
BLUT-CHEMIE;15621;Lora;Lorazepam;µmol/l;0.16;0.75;0.16;0.75
BLUT-CHEMIE;23127;Lora;Lorazepam;nmol/l;31;47;31;47
BLUT-CHEMIE;36521;Lora;Lorazepam;nmol/l;93;312;93;312
BLUT-CHEMIE;239;Lpa;Lp(a) INA;mg/l;<;300;<;300
BLUT-CHEMIE;35700;Mangan;Mangan;nmol/l;5;20;5;20
BLUT-CHEMIE;18540;Mangan;Mangan;nmol/l;<;200;<;200
BLUT-CHEMIE;30285;Mangan;Mangan;nmol/l;5.5;16;5.5;16
BLUT-CHEMIE;13886;Maprotilin;Maprotilin;µmol/l;0.45;0.72;0.45;0.72
BLUT-CHEMIE;30163;Maprotilin;Maprotilin;µmol/l;0.27;0.47;0.27;0.47
BLUT-CHEMIE;10873;Maprotilin;Maprotilin;µg/l;55;250;55;250
BLUT-CHEMIE;10562;MBG;Mittl. Blutzuckerwert;mmol/l;3;7;3;7
BLUT-CHEMIE;21934;MBG;Mittl. Blutzuckerwert;mmol/l;;;;
BLUT-CHEMIE;11027;MCA;MCA;U/ml;<;11;<;11
BLUT-CHEMIE;36709;m-CPP; m-CPP;µmol/l;0.02;0.25;0.02;0.25
BLUT-CHEMIE;10973;MEBENZ;Mebendazol;nmol/l;>;250;>;250
BLUT-CHEMIE;21500;Mesux;Mesuximid;;;;;
BLUT-CHEMIE;38643;metbq;metabolischer Quotient;;;;;
BLUT-CHEMIE;67;METHO;Methotrexat;µmol/l;;;;
BLUT-CHEMIE;10845;Methyl;Methylmalonsäure;nmol/l;50;300;50;300
BLUT-CHEMIE;21279;Methyl;Methylmalonsäure;nmol/l;<;271;<;271
BLUT-CHEMIE;19282;Methylphenidat;Methylphenidat;nmol/l;43;257;43;257
BLUT-CHEMIE;15508;Methylphenidat;Methylphenidat;µg/l;15;60;15;60
BLUT-CHEMIE;33647;Methylphenidat;Methylphenidat;nmol/l;;;;
BLUT-CHEMIE;30065;Methylphenidat;Methylphenidat;nmol/l;56;94;56;94
BLUT-CHEMIE;38296;MetQuoAripi; Quotient Dehydroa./Aripiprazol;;0.3;0.5;0.3;0.5
BLUT-CHEMIE;38524;MetQuoBupro; metabolischer Quotient;;6,3;25,9;6,3;25,9
BLUT-CHEMIE;38364;MetQuoCitalo; metabolischer Quotient;;0.31;0.6;0.31;0.6
BLUT-CHEMIE;38255;MetQuoCloz;  Quotient Norc./Clozapin;;0.45;0.79;0.45;0.79
BLUT-CHEMIE;38227;MetQuoEscit; Quotient Desmethylesc./Escital.;;0.3;1;0.3;1
BLUT-CHEMIE;38293;MetQuoFluox; Quotient Norfluoxetin/Fluoxetin;;0.7;1.9;0.7;1.9
BLUT-CHEMIE;38224;MetQuoOlanz; metab. Quotient;;0.1;0.3;0.1;0.3
BLUT-CHEMIE;38231;MetQuoquet; Quotient Norq./Quetiapin;;0.54;3.1;0.54;3.1
BLUT-CHEMIE;38771;MetQuotClob; metabolischer Quotient;;2;10;2;10
BLUT-CHEMIE;43068;MetQuotClom; Quotient DesmClomi/Clomi;;0.8;2.6;0.8;2.6
BLUT-CHEMIE;41833;MetQuotMirta; Quotient N-Desmethylm./Mirta.;;0.2;1.2;0.2;1.2
